weighted portfolio variance,weighted portfolio returns
0.031151,0.195835
0.036830,0.224537
0.036471,0.148507
0.042720,0.226368
0.030194,0.209379
0.030880,0.246268
0.030728,0.191978
0.019386,0.195877
0.029374,0.192419
0.029725,0.224383
0.031610,0.211160
0.047817,0.229124
0.047201,0.227136
0.039081,0.222224
0.018797,0.180471
0.030942,0.217561
0.021902,0.193431
0.018152,0.188107
0.020377,0.159788
0.023499,0.194697
0.020873,0.156615
0.040484,0.225121
0.048364,0.228948
0.036925,0.213695
0.031233,0.146517
0.038339,0.214393
0.033822,0.152679
0.035878,0.252395
0.040816,0.218996
0.036816,0.143170
0.037653,0.234544
0.027363,0.142869
0.025483,0.202786
0.027801,0.147460
0.020892,0.155761
0.023450,0.193061
0.050579,0.231044
0.023445,0.170843
0.030720,0.171348
0.021240,0.196788
0.038141,0.222204
0.050529,0.231099
0.035982,0.149870
0.026870,0.215800
0.022025,0.192402
0.020248,0.183409
0.018524,0.187796
0.046380,0.130450
0.022238,0.152437
0.034058,0.211379
0.018330,0.190361
0.019640,0.195136
0.037299,0.210257
0.022543,0.181434
0.026750,0.217378
0.022194,0.197640
0.029328,0.205406
0.020880,0.170176
0.041183,0.221911
0.020654,0.191147
0.016074,0.194921
0.036694,0.221850
0.019402,0.186920
0.039330,0.216802
0.045832,0.223733
0.018836,0.193404
0.021983,0.158564
0.024416,0.195282
0.050975,0.232118
0.033619,0.200443
0.032030,0.201772
0.046920,0.229218
0.030275,0.204422
0.022243,0.186754
0.030482,0.159497
0.032990,0.208761
0.033333,0.153889
0.028953,0.220294
0.029357,0.223926
0.032420,0.232999
0.021843,0.173398
0.023616,0.178887
0.048506,0.232281
0.026142,0.236133
0.051342,0.231738
0.038051,0.268769
0.029029,0.201702
0.027455,0.207229
0.035820,0.220619
0.030671,0.161527
0.039507,0.216359
0.046029,0.235777
0.031101,0.172262
0.025287,0.152354
0.033342,0.215871
0.034178,0.219454
0.027992,0.163292
0.022681,0.204184
0.040540,0.224508
0.032041,0.218218
0.026869,0.188821
0.022912,0.210110
0.033483,0.221469
0.025671,0.181227
0.020995,0.177811
0.036656,0.209475
0.033337,0.199679
0.023435,0.176855
0.024306,0.212254
0.018718,0.181408
0.024613,0.197992
0.034668,0.209400
0.029028,0.186249
0.046119,0.225629
0.030263,0.198143
0.041804,0.228902
0.020258,0.211722
0.020903,0.197889
0.031607,0.205499
0.037367,0.207844
0.032083,0.203247
0.019557,0.184342
0.047435,0.230024
0.036115,0.214483
0.034173,0.212871
0.048828,0.127670
0.028581,0.180109
0.041892,0.224636
0.044555,0.222641
0.025296,0.214064
0.047019,0.227292
0.051046,0.231428
0.044855,0.223039
0.051581,0.231975
0.020185,0.183895
0.022696,0.226609
0.033716,0.152364
0.019871,0.201688
0.049621,0.229687
0.033530,0.223506
